Zipcode,CountryCode
10473,United States
7110,United States
7032,United States
10803,United States
7424,United States
6320,United States
6905,United States
6906,United States
6825,United States
19148,United States
19095,United States
18344,United States
18322,United States
18507,United States
19139,United States
8865,United States
19082,United States
19138,United States
18045,United States
19114,United States
19146,United States
8809,United States
8094,United States
8332,United States
8520,United States
8021,United States
8638,United States
8691,United States
8902,United States
8009,United States
19804,United States
21001,United States
21015,United States
8854,United States
8028,United States
21207,United States
8505,United States
19713,United States
19701,United States
19801,United States
19702,United States
7728,United States
8734,United States
8753,United States
8527,United States
7764,United States
7730,United States
8090,United States
11706,United States
11553,United States
11784,United States
11729,United States
11758,United States
11779,United States
11776,United States
11901,United States
11788,United States
