ZipCode,Extended Zipcodes
06604,"06404,06430,06431,06432,06461,06484,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06880,06883,06889,06890"
06605,"06404,06430,06431,06432,06461,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06851,06880,06883,06889,06890"
06607,"06404,06430,06431,06432,06461,06477,06484,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06880,06889,06890"
06608,"06404,06430,06431,06432,06461,06484,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06880,06889,06890"
06807,"06807,06820,06830,06831,06840,06842,06850,06853,06854,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10504,10506,10514,10528,10538,10545,10551,10557,10558,10559,10571,10572,10573,10577,10581,10592,10601,10602,10605,10606,10610,10625,10629,10633,10650,10702"
06820,"06807,06820,06830,06831,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06880,06889,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926"
06824,"06404,06430,06431,06432,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06850,06851,06855,06856,06858,06880,06883,06889,06890,06897"
06825,"06404,06430,06431,06432,06461,06484,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06851,06880,06883,06889,06890,06896"
06830,"06807,06820,06830,06831,06842,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10504,10506,10514,10528,10530,10538,10543,10545,10551,10552,10557,10558,10559,10571,10572,10573,10577,10580,10581,10583,10592,10594,10595,10601,10602,10603,10605,10606,10607,10610,10625,10629,10633,10650,10702,10801"
06831,"06807,06820,06830,06831,06840,06842,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10504,10506,10510,10514,10523,10528,10530,10538,10545,10549,10551,10552,10557,10558,10559,10562,10570,10571,10572,10573,10576,10577,10580,10581,10583,10591,10592,10594,10595,10601,10602,10603,10604,10605,10606,10607,10610,10625,10629,10633,10650,10702,10801"
06840,"06807,06820,06829,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06880,06883,06889,06896,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10518,10576,10590"
06850,"06430,06490,06807,06820,06824,06828,06829,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06880,06883,06889,06890,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10576"
06851,"06430,06431,06432,06490,06605,06820,06824,06825,06828,06829,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06880,06883,06889,06890,06896,06897,06901,06902,06903,06905,06906,06907,06921,06922,06926,10576"
06853,"06490,06807,06820,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06880,06889,06890,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926"
06854,"06430,06490,06807,06820,06828,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06880,06883,06889,06890,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926"
06855,"06430,06490,06820,06824,06828,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06880,06883,06889,06890,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926"
06870,"06807,06820,06830,06831,06840,06842,06850,06853,06854,06855,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10506,10528,10573,10577,10605,10650"
06878,"06807,06820,06830,06831,06840,06842,06850,06853,06854,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10504,10506,10528,10538,10545,10551,10557,10558,10559,10571,10572,10573,10577,10581,10592,10601,10602,10605,10606,10610,10625,10629,10633,10650,10702"
06880,"06430,06431,06432,06490,06602,06604,06605,06606,06607,06608,06612,06820,06824,06825,06828,06829,06838,06840,06842,06850,06851,06853,06854,06855,06856,06858,06880,06883,06889,06890,06896,06897"
06883,"06430,06431,06432,06436,06440,06490,06601,06604,06605,06606,06611,06612,06650,06673,06699,06813,06814,06816,06817,06824,06825,06828,06829,06832,06836,06838,06840,06842,06850,06851,06852,06854,06855,06856,06857,06858,06859,06860,06875,06877,06879,06880,06881,06883,06888,06889,06890,06896,06897,06904,06911,06912,06913,06914,06920,06925,06927,06928,10590"
06890,"06404,06430,06431,06432,06490,06497,06602,06604,06605,06606,06607,06608,06610,06611,06612,06614,06615,06824,06825,06828,06838,06850,06851,06853,06854,06855,06856,06858,06880,06883,06889,06890,06897"
06897,"06430,06431,06432,06436,06440,06490,06601,06612,06650,06673,06699,06813,06814,06816,06817,06820,06824,06829,06832,06836,06838,06840,06842,06850,06851,06852,06853,06854,06855,06856,06857,06858,06859,06860,06875,06877,06879,06880,06881,06883,06888,06889,06890,06896,06897,06903,06904,06905,06907,06911,06912,06913,06914,06920,06925,06927,06928,10518,10576,10590"
06901,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10573,10650"
06902,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10573,10650"
06903,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10506,10507,10518,10545,10549,10551,10557,10558,10559,10571,10572,10573,10576,10581,10590,10592,10602,10610,10625,10629,10633,10702"
06905,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10506,10545,10551,10557,10558,10559,10571,10572,10573,10576,10581,10590,10592,10602,10610,10625,10629,10633,10702"
06906,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10573,10576"
06907,"06807,06820,06830,06831,06840,06842,06850,06851,06853,06854,06855,06856,06858,06870,06876,06878,06897,06901,06902,06903,06905,06906,06907,06910,06921,06922,06926,10506,10573,10576"
