Zipcode,CountryCode,ExtendedPostalCodes
10473,United States,"['10465', '10466-6116', '11360', '11354', '10474-7052']"
7110,United States,"['07070-1204', '07073', '07110-2846', '07073', '07003-5532']"
7032,United States,"['07017-3305', '07029-2717', '07032', '07032', '07114']"
10803,United States,"['10469-3428', '10469-6247', '10466-6117', '10709-5655', '10709-1427']"
7424,United States,"['07470-6711', '07009-1717', '07042-2944', '07028-1442', '07035']"
6320,United States,"['06340-7705', '06385-3728', '06340', '06385-4041', '06385-1325']"
6905,United States,"['06902-1832', '06840-2616', '06905-2219', '06903-4927', '06840-6624']"
6906,United States,"['06903-4120', '06878-1220', '06906-1418', '06820-2616', '06820-6210']"
6825,United States,"['06825', '06825', '06604-2626', '06604', '06604-5734']"
19148,United States,"['19112', '19112', '19148', '08093-1731', '19148']"
19095,United States,"['19118-4302', '19144-1033', '19150-3529', '19006-5101', '19038-7143']"
18344,United States,"['18466', '18466-8160', '18466-7948', '18466-8288', '18355']"
18322,United States,"['18353-8122', '18353-8264', '18353-7823', '18354-7756', '18360-8549']"
18507,United States,"['18640-5000', '18640-9555', '18507-1222', '18507-1206', '18411']"
19139,United States,"['19131-3617', '19121-3618', '19004-1351', '19050-3912', '19143-1904']"
8865,United States,"['08865', '18040-8762', '18042-1544', '08865-2416', '18045-7422']"
19082,United States,"['19026', '19082-37ND', '19153-35ND', '19004-1814', '19153']"
19138,United States,"['19138-1103', '19141-1915', '19140-1712', '19038-1418', '19126-1534']"
18045,United States,"['18045-2539', '18020-8932', '18045-5274', '18045-7809', '18045-3155']"
19114,United States,"['19154-39ND', '19116-2115', '08077-2243', '19154-38ND', '19114-20ND']"
19146,United States,"['19132-4402', '19066-1747', '19129', '19131', '19145']"
8809,United States,"['08827-2540', '08867-4047', '08827', '08809', '08801']"
8094,United States,"['08081-2905', '08094-1160', '08094-1429', '08081-3050', '08094']"
8332,United States,"['08360-4409', '08332', '08332', '08332-9437']"
8520,United States,"['08512-2609', '08512', '08691-2314', '08512-5001', '08512-3104']"
8021,United States,"['08021', '08009-9728', '08021', '08081-9684', '08081-1016']"
8638,United States,"['08619-1013', '08610-6427', '08611-2839', '08648', '08648']"
8691,United States,"['08691-3421', '08691-4123', '08550-3600', '08691-1510', '08691-1107']"
8902,United States,"['08854-5062', '08850-1521', '08901-3903', '08873-4403', '08902-1662']"
8009,United States,"['08091', '08009-14ND', '08081-9565', '08043-2668', '08053']"
19804,United States,"['19702-1900', '19807-2566', '19808-4518', '19803', '19808-2135']"
21001,United States,"['21001', '21005', '21001-3210', '21028-1908', '21001-1310']"
21015,United States,"['21015-1470', '21085-2606', '21015-5722', '21015-6601', '21015-1403']"
8854,United States,"['08854', '08854-2080', '08854-3254', '07080', '08854-2868']"
8028,United States,"['08312-1001', '08080-2021', '08343-4619', '08051-1050', '08094']"
21207,United States,"['21228', '21227-1707', '21228-4808', '21230-1133', '21229-4544']"
8505,United States,"['08505', '08515-2219', '08022', '19067', '08505-1705']"
19713,United States,"['19713', '21921-3849', '19711-6125', '19702-6326', '19702']"
19701,United States,"['19720-4603', '19720-4616', '19720', '19711-5703', '19701-1520']"
19801,United States,"['19801-5230', '19801-5427', '19801', '19720-7706', '19720-2069']"
19702,United States,"['19702-4015', '19702-2353', '21921-2943', '19702-2446', '19701']"
7728,United States,"['07726-8721', '07728-1656', '07728-2319', '07728-4427', '07728-8869']"
8734,United States,"['08721-1118', '08741', '08721', '08734']"
8753,United States,"['08732-7729', '08721-2778', '08721-1915', '08757-4512', '08721-3050']"
8527,United States,"['08527-4421', '07728-9281', '07727-3577', '08527', '08527-4022']"
7764,United States,"['07750-1152', '07764-1653', '07740-5349', '07740-5834']"
7730,United States,"['07721-1197', '07730-1619', '08879-2865', '07748']"
8090,United States,"['08096', '08096', '08051-1002', '08097', '08080']"
11706,United States,"['11718-1505', '11717-7003', '11717-3703', '11795-4105', '11706-7824']"
11553,United States,"['11530-3102', '11590-2516', '11520-2265', '11501-1013', '11575-2466']"
11784,United States,"['11784-1021', '11741-3417', '11776-4102', '11784-4001', '11727-5130']"
11729,United States,"['11729', '11729-4230', '11757', '11746-6107', '11706-7708']"
11758,United States,"['11762-2457', '11758-3421', '11783-2940', '11783-1745', '11735']"
11779,United States,"['11779-2711', '11779', '11779-6156', '11790-2733', '11720-4031']"
11776,United States,"['11720-4370', '11720-2860', '11733', '11776-1701', '11777-2123']"
11901,United States,"['11901-3313', '11933-2511', '11901-1509']"
11788,United States,"['11725-3432', '11780-3808', '11787-4425', '11788-3029', '11780-1643']"
